Site_Name,Line_No,Electrode Number,X Distance (m),Y Distance (m),UTM_N_Y,UTM_E_X,Elevation (m)
Kyles Landing,1,1,0,0,474629.8989,3990097.558,249.003
Kyles Landing,1,2,2,0,474631.4769,3990098.796,249.293
Kyles Landing,1,3,4,0,474633.0064,3990100.062,249.401
Kyles Landing,1,4,6,0,474634.5359,3990101.327,249.475
Kyles Landing,1,5,8,0,474636.0199,3990102.602,249.817
Kyles Landing,1,6,10,0,474637.5452,3990103.846,249.971
Kyles Landing,1,7,12,0,474639.1378,3990105.032,250.098
Kyles Landing,1,8,14,0,474640.6085,3990106.396,250.009
Kyles Landing,1,9,16,0,474642.1546,3990107.663,250.315
Kyles Landing,1,10,18,0,474643.6787,3990108.897,250.416
Kyles Landing,1,11,20,0,474645.1886,3990110.196,250.332
Kyles Landing,1,12,22,0,474646.8032,3990111.452,250.489
Kyles Landing,1,13,24,0,474648.316,3990112.758,250.54
Kyles Landing,1,14,26,0,474649.8515,3990113.999,250.548
Kyles Landing,1,15,28,0,474651.51,3990115.221,250.668
Kyles Landing,1,16,30,0,474653.0388,3990116.508,250.644
Kyles Landing,1,17,32,0,474654.5677,3990117.795,250.91
Kyles Landing,1,18,34,0,474656.0965,3990119.082,250.932
Kyles Landing,1,19,36,0,474657.6866,3990120.363,250.817
Kyles Landing,1,20,38,0,474659.2,3990121.581,250.75
Kyles Landing,1,21,40,0,474660.8147,3990122.898,250.798
Kyles Landing,1,22,42,0,474662.3491,3990124.128,250.816
Kyles Landing,1,23,44,0,474663.8974,3990125.384,250.725
Kyles Landing,1,24,46,0,474665.4617,3990126.665,250.537
Kyles Landing,1,25,48,0,474666.9944,3990127.907,250.469
Kyles Landing,1,26,50,0,474668.5229,3990129.241,250.64
Kyles Landing,1,27,52,0,474670.1294,3990130.481,250.764
Kyles Landing,1,28,54,0,474671.5527,3990131.71,250.624
Kyles Landing,1,29,56,0,474673.1422,3990133.034,250.636
Kyles Landing,1,30,58,0,474674.6976,3990134.238,250
Kyles Landing,1,31,60,0,474676.2012,3990135.456,250.55
Kyles Landing,1,32,62,0,474677.8041,3990136.756,250.4
Kyles Landing,1,33,64,0,474679.377,3990138.071,250.365
Kyles Landing,1,34,66,0,474680.9385,3990139.396,250.133
Kyles Landing,1,35,68,0,474682.5071,3990140.604,250
Kyles Landing,1,36,70,0,474683.9966,3990141.949,249.884
Kyles Landing,1,37,72,0,474685.4866,3990143.24,249.956
Kyles Landing,1,38,74,0,474687.0624,3990144.487,249.8
Kyles Landing,1,39,76,0,474688.5289,3990145.781,249.874
Kyles Landing,1,40,78,0,474690.0285,3990146.968,249.771
Kyles Landing,1,41,80,0,474691.4227,3990148.079,249.97
Kyles Landing,1,42,82,0,474693.2414,3990149.356,249.753
Kyles Landing,1,43,84,0,474694.7441,3990150.243,249.165
Kyles Landing,1,44,86,0,474696.2469,3990151.131,248.813
Kyles Landing,1,45,88,0,474697.7496,3990152.018,248.886
Kyles Landing,1,46,90,0,474699.2719,3990153.304,248.907
Kyles Landing,1,47,92,0,474700.8548,3990154.608,248.923
Kyles Landing,1,48,94,0,474702.4133,3990155.942,248.993
Kyles Landing,1,49,96,0,474704.02,3990157.594,249.496
Kyles Landing,1,50,98,0,474705.6267,3990159.246,249.569
Kyles Landing,1,51,100,0,474707.2334,3990160.898,249.594
Kyles Landing,1,52,102,0,474708.7878,3990162.237,249.683
Kyles Landing,1,53,104,0,474710.3864,3990163.508,249.573
Kyles Landing,1,54,106,0,474711.9775,3990164.696,249.757
Kyles Landing,1,55,108,0,474713.4983,3990165.897,249.762
Kyles Landing,1,56,110,0,474715.0736,3990167.506,249.725
Kyles Landing,1,57,112,0,474716.6224,3990168.424,249.702
Kyles Landing,1,58,114,0,474718.139,3990169.754,249.745
Kyles Landing,1,59,116,0,474719.696,3990171.011,249.739
Kyles Landing,1,60,118,0,474721.296,3990172.235,249.726
Kyles Landing,1,61,120,0,474722.7941,3990173.479,249.752
Kyles Landing,1,62,122,0,474724.3796,3990174.733,249.703
Kyles Landing,1,63,124,0,474725.9391,3990175.979,249.733
Kyles Landing,1,64,126,0,474727.493,3990177.267,249.656
Kyles Landing,1,65,128,0,474729.0085,3990178.463,249.779
Kyles Landing,1,66,130,0,474730.6436,3990179.75,249.613
Kyles Landing,1,67,132,0,474732.1628,3990181.005,249.599
Kyles Landing,1,68,134,0,474733.6873,3990182.261,249.555
Kyles Landing,1,69,136,0,474735.2146,3990183.453,249.386
Kyles Landing,1,70,138,0,474736.8334,3990184.713,249.34
Kyles Landing,1,71,140,0,474738.3605,3990185.929,249.25
