Site_Name,Line_No,Array ,Induced_Polarization,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Stack,Vab ,Pab ,Rab ,Tx-Bat,Rx-Bat
Kyles Landing,1,Reciprocal Schlumberger - Induced Polarization,Yes,2,4,0,6,332.73,0.02,4.86,-29.07,807.091,30.482,6,36,1,1.2,12.58,12.41
Kyles Landing,1,Reciprocal Schlumberger - Induced Polarization,Yes,4,6,2,8,297.14,0.72,3.98,-35.97,800.472,33.853,6,31,1,0.9,12.58,12.41
Kyles Landing,1,Reciprocal Schlumberger - Induced Polarization,Yes,6,8,4,10,366.85,0.23,3.92,58.72,5083.32,174.126,6,127,22,0.7,12.46,12.41
Kyles Landing,1,Reciprocal Schlumberger - Induced Polarization,Yes,6,8,10,0,346.62,0.02,4.45,112.03,-2801.701,174.126,6,127,22,0.7,12.46,12.41
Kyles Landing,1,Reciprocal Schlumberger - Induced Polarization,Yes,6,8,0,14,353.03,0.02,6,-95.47,815.288,174.126,6,127,22,0.7,12.46,12.41
Kyles Landing,1,Reciprocal Schlumberger - Induced Polarization,Yes,8,10,6,12,340.37,0.05,4.49,347.8,10602.708,391.449,6,344,135,0.9,11.83,12.39
Kyles Landing,1,Reciprocal Schlumberger - Induced Polarization,Yes,8,10,12,2,345.34,0.02,4.04,12.35,-6275.272,391.449,6,344,135,0.9,11.83,12.39
Kyles Landing,1,Reciprocal Schlumberger - Induced Polarization,Yes,8,10,2,16,331.44,0.02,4.63,-9.92,1720.738,391.449,6,344,135,0.9,11.83,12.39
Kyles Landing,1,Reciprocal Schlumberger - Induced Polarization,Yes,8,10,16,0,333.08,0.02,4.41,54.07,-1383.427,391.449,6,344,135,0.9,11.83,12.39
Kyles Landing,1,Reciprocal Schlumberger - Induced Polarization,Yes,8,10,0,18,266.06,0.02,4.79,-76.95,828.785,391.449,6,344,135,0.9,11.83,12.39
Kyles Landing,1,Reciprocal Schlumberger - Induced Polarization,Yes,8,12,0,20,212.54,0.02,4.36,-99.61,824.442,292.467,6,265,77,0.9,12.1,12.39
Kyles Landing,1,Reciprocal Schlumberger - Induced Polarization,Yes,10,12,8,14,331.71,0.05,3.48,445.03,12250.293,464.083,6,494,229,1.1,11.2,12.39
